id;submitdate;lastpage;startlanguage;seed;startdate;datestamp;group;ident;PI1;PI2;I1;I2;I3;I4;PO1;PO2T[SQ002];PO2T[SQ003];PO2T[SQ004];PO2T[SQ008];PO2T[SQ010];PO2T[SQ012];PO2T[SQ013];PO2T[SQ018];PO2T[SQ014];PO2T[SQ016];PO2T[SQ017];PO3U[SQ001];PO3U[SQ003];PO3U[SQ004];PO3U[SQ005];PO3U[SQ006];PO4E[SQ001];PO4E[SQ003];PO4E[SQ006];PO4E[SQ008];PO4E[SQ019];PO4E[SQ011];PO4E[SQ012];PO4E[SQ017];PO4E[SQ018];PO5OP;DE1;DE2;DE2[other];DE3;DE4[SQ001];DE4[SQ002];DE4[SQ003];DE4[SQ004];DE4[SQ005];DE4[other];DE5;FEED;interviewtime;groupTime8318;groupTime;identTime;groupTime8319;PI1Time;PI2Time;groupTime8315;I1Time;I2Time;I3Time;I4Time;groupTime8316;PO1Time;PO2TTime;PO3UTime;PO4ETime;PO5OPTime;groupTime8317;DE1Time;DE2Time;DE3Time;DE4Time;DE5Time;groupTime8320;FEEDTime
35;2026-06-17 17:25:38;19;en;1695716245;2026-06-17 17:11:01;2026-06-17 17:25:38;2;387089;No experience;Daily;;;;;When n is 0;4;3;5;5;5;3;3;4;5;3;4;3;4;5;7 (strongly agree);6;2;4;6;3;1 (strongly disagree);4;4;5;5;;;Man;;High school diploma / Abitur;No;Yes;No;No;No;;18 to 24;;882.36;;;;;5.55;5.86;;;;4.25;;;21.08;34.05;18.39;769.72;5.23;;2.06;3.01;3.75;4.74;3.19;;1.48
95;2026-06-27 10:50:50;19;en;1426469503;2026-06-27 10:36:21;2026-06-27 10:50:50;2;308941;Basic knowledge;Daily;;;;;When n is 0;5;5;6;6;3;5;7 (strongly agree);7 (strongly agree);2;6;5;6;6;7 (strongly agree);7 (strongly agree);7 (strongly agree);6;5;6;5;7 (strongly agree);6;5;4;4;;;Woman;;High school diploma / Abitur;No;No;No;No;No;Russisch ;18 to 24;;876.37;;;;;4.12;7.63;;;;243.16;;;54.58;263.85;58.47;87.57;24.58;;54.57;10.7;8.01;49.83;5.4;;3.9
106;2026-06-28 16:53:41;19;en;803729760;2026-06-28 16:39:17;2026-06-28 16:53:41;3;387230;Advanced;Daily;;;;;When n is 0;2;2;7 (strongly agree);4;4;2;6;7 (strongly agree);2;4;1 (strongly disagree);1 (strongly disagree);1 (strongly disagree);2;2;2;2;2;4;4;1 (strongly disagree);3;4;4;3;;;Man;;High school diploma / Abitur;No;Yes;No;No;No;;18 to 24;"for me it was not clear what the bot really wanted from me. pseudo code is also always very unclear what i can do and what not
";870.51;;;;;6.87;6.84;;;;;548.07;;33.01;83.59;39.34;48.19;11.59;;5.26;3.69;8.89;8.03;4.38;;62.76
114;2026-06-28 21:57:39;19;en;1047555307;2026-06-28 21:43:14;2026-06-28 21:57:39;4;476238;Basic knowledge;Daily;;;;;When the move count reaches n;4;5;6;4;3;5;6;7 (strongly agree);3;5;2;5;5;6;6;4;5;2;3;2;1 (strongly disagree);4;5;5;5;;;Woman;;Bachelor's degree;No;Yes;No;No;No;;25 to 34;;869.48;;;;;5.48;6.29;;125.19;;;;;41.61;79.32;30.29;45.85;6.34;;3.97;6.38;119.96;3.63;4.04;;391.13
41;2026-06-18 20:01:41;19;en;1678997930;2026-06-18 19:47:24;2026-06-18 20:01:41;1;680460;Basic knowledge;Frequently / weekly;;;;;When n is 0;5;6;6;6;7 (strongly agree);5;7 (strongly agree);7 (strongly agree);1 (strongly disagree);6;5;5;5;6;6;5;4;5;2;2;1 (strongly disagree);5;4;5;2;;;Woman;;Bachelor's degree;No;Yes;No;No;No;;25 to 34;;863.94;;;;;37.47;13.46;;;644.84;;;;20.15;56.25;24.71;28.16;9.48;;5.28;4.64;4.53;5.77;5.52;;3.68
129;2026-06-29 16:47:41;19;en;2057614348;2026-06-29 16:34:35;2026-06-29 16:47:41;3;103955;Advanced;Daily;;;;;When n is 0;4;5;6;2;3;3;7 (strongly agree);7 (strongly agree);2;4;1 (strongly disagree);1 (strongly disagree);1 (strongly disagree);1 (strongly disagree);1 (strongly disagree);1 (strongly disagree);1 (strongly disagree);1 (strongly disagree);7 (strongly agree);7 (strongly agree);1 (strongly disagree);1 (strongly disagree);2;3;1 (strongly disagree);;;Man;;High school diploma / Abitur;No;No;No;No;No;Romanian;18 to 24;;792.78;;;;;4.54;10.84;;;;;534.76;;13.84;121.92;14.96;46.52;11.28;;6.27;4.06;5.47;12.93;2.62;;2.77
102;2026-06-27 15:38:10;19;en;1054963281;2026-06-27 15:25:34;2026-06-27 15:38:10;4;839188;Basic knowledge;Rarely / once every few months;;;;;When the largest disk is on the bottom;3;4;4;3;5;4;5;7 (strongly agree);4;5;3;4;4;5;5;5;3;4;3;3;1 (strongly disagree);4;4;2;2;;;Woman;;Bachelor's degree;No;Yes;No;No;No;;25 to 34;;760.77;;;;;9.53;13.74;;487.1;;;;;55.66;65.09;33.01;49.55;8.15;;3.96;11.28;4.75;9.33;5.05;;4.57
59;2026-06-24 12:04:47;19;en;287887213;2026-06-24 11:51:27;2026-06-24 12:04:47;4;600665;Basic knowledge;Frequently / weekly;;;;;When n is 0;4;5;4;3;6;6;7 (strongly agree);7 (strongly agree);2;3;3;6;6;6;6;6;4;6;2;3;1 (strongly disagree);3;4;2;3;I maybe would have him talk more casual l;;Man;;High school diploma / Abitur;No;Yes;No;No;No;Arabic;18 to 24;;752.62;;;;;7.81;6.27;;4.46;;;;;29.42;519.58;27.15;40.42;63.86;;5.63;3.65;6.36;27.4;6.38;;4.23
66;2026-06-24 14:38:49;19;en;1750245207;2026-06-24 14:26:29;2026-06-24 14:38:49;4;850301;Basic knowledge;Daily;;;;;When n is 0;5;6;7 (strongly agree);4;4;5;7 (strongly agree);7 (strongly agree);1 (strongly disagree);7 (strongly agree);5;7 (strongly agree);7 (strongly agree);4;7 (strongly agree);5;4;6;3;6;1 (strongly disagree);6;3;4;3;No I found the Bot to be very gender-neutral and empathetic i just felt a bit bombarded at the beginning, because the bot generated so much text in the beginning, but it was very helpful.;;Man;;High school diploma / Abitur;No;Yes;No;No;No;;18 to 24;I wish you the best of luck for your bachelors thesis :);746.06;;;;;15.42;7.39;;270.16;;;;;40.32;93.39;34.99;44.62;119.85;;15.81;5.49;8.56;9.94;5.7;;74.42
45;2026-06-21 20:44:05;19;en;1255972025;2026-06-21 20:31:51;2026-06-21 20:44:05;2;951118;Basic knowledge;Daily;;;;;When n is 0;6;6;6;6;5;5;5;7 (strongly agree);3;5;5;5;5;5;5;5;5;5;3;3;1 (strongly disagree);5;5;5;2;;;Woman;;Bachelor's degree;No;No;No;No;No;Polish ;25 to 34;;741.59;;;;;6.65;5.95;;;;254.83;;;59.23;317.72;36.39;27.73;4.38;;3.12;3.96;3.19;10.81;4.92;;2.71
157;2026-06-30 17:57:36;19;en;296351322;2026-06-30 17:45:26;2026-06-30 17:57:36;3;127791;Advanced;Daily;;;;;When n is 0;4;6;7 (strongly agree);5;7 (strongly agree);4;6;7 (strongly agree);6;5;3;6;6;6;6;6;4;4;7 (strongly agree);7 (strongly agree);1 (strongly disagree);2;2;2;2;;;Man;;Bachelor's degree;Yes;No;No;No;No;;25 to 34;;738.05;;;;;4.3;12.36;;;;;421.4;;34.9;68.86;13.76;62.28;5.02;;46.74;42.28;7.39;8.63;5.37;;4.76
28;2026-06-16 17:42:21;19;en;860426209;2026-06-16 17:30:12;2026-06-16 17:42:21;1;170790;No experience;Daily;;;;;When n is 0;4;4;4;4;3;3;4;7 (strongly agree);4;4;4;4;4;4;3;3;2;2;2;2;1 (strongly disagree);2;2;2;2;;;Woman;;Master's degree;No;Yes;No;No;No;;25 to 34;;735.78;;;;;5.73;22.51;;;19.57;;;;24.97;27.9;19.12;249.94;7.31;;119.49;69.83;5.8;6.12;154.95;;2.54
57;2026-06-24 08:40:05;19;en;1050111253;2026-06-24 08:28:03;2026-06-24 08:40:05;3;455383;Advanced;Frequently / weekly;;;;;When n is 0;6;6;4;4;4;5;7 (strongly agree);7 (strongly agree);1 (strongly disagree);4;5;3;3;6;5;6;4;4;4;3;1 (strongly disagree);3;5;2;2;;;Man;;Bachelor's degree;Yes;Yes;No;No;No;;25 to 34;The Chatbot session was way too short to answer the questions.;728.44;;;;;13.55;8.5;;;;;373.09;;16.97;135.56;45.69;48.65;13.04;;9.03;13.91;5.87;8.4;6.64;;29.54
153;2026-06-30 16:58:42;19;en;997501567;2026-06-30 16:46:46;2026-06-30 16:58:42;1;183621;Basic knowledge;Frequently / weekly;;;;;When the largest disk is on the bottom;7 (strongly agree);7 (strongly agree);7 (strongly agree);7 (strongly agree);1 (strongly disagree);7 (strongly agree);7 (strongly agree);7 (strongly agree);1 (strongly disagree);4;7 (strongly agree);4;6;6;6;7 (strongly agree);4;4;3;3;1 (strongly disagree);4;7 (strongly agree);2;2;No, there were no such words.;;Woman;;Bachelor's degree;No;Yes;No;No;No;;18 to 24;;722.65;;;;;71.37;7.98;;;411.92;;;;19.54;70.51;35.96;42.08;23.77;;6.84;7.74;5.55;11.2;4.87;;3.32
40;2026-06-18 16:23:42;19;en;1832875901;2026-06-18 16:11:46;2026-06-18 16:23:42;2;387646;Basic knowledge;Daily;;;;;When the largest disk is on the bottom;1 (strongly disagree);1 (strongly disagree);5;1 (strongly disagree);4;1 (strongly disagree);6;7 (strongly agree);7 (strongly agree);2;1 (strongly disagree);1 (strongly disagree);1 (strongly disagree);1 (strongly disagree);1 (strongly disagree);1 (strongly disagree);1 (strongly disagree);1 (strongly disagree);1 (strongly disagree);1 (strongly disagree);1 (strongly disagree);1 (strongly disagree);2;3;3;The chatbot did not work very well as it only accepted one answer format, so the immerson was drastically reduced. I felt frustrated as I had to specifcally follow the answer format and it would not let me move on when saying that I do not know. This was liekly about the chatbot writing in an empathetic way, but I was distracted from that due to the confusion;;Woman;;Master's degree;Yes;Yes;No;No;No;;25 to 34;;721.54;;;;;4.28;4.27;;;;448.9;;;46.41;45.67;17.61;28.32;103.28;;3.17;3.68;3.62;5.54;4.29;;2.5
77;2026-06-25 11:37:06;19;en;185006387;2026-06-25 11:25:22;2026-06-25 11:37:06;4;362263;Advanced;Daily;;;;;When n is 0;4;4;4;3;5;3;6;7 (strongly agree);1 (strongly disagree);5;5;5;4;4;5;5;5;5;5;5;1 (strongly disagree);6;3;3;3;"No there were no such words as it always referred to me as ""you"", however the bot also didnt seem empathetic and seemed neutral";;Woman;;High school diploma / Abitur;Yes;Yes;No;No;No;Hindi;18 to 24;;709.13;;;;;12.39;7.64;;473.63;;;;;34.04;40.68;35.26;30.16;41.52;;4.23;4.14;6.29;10.93;5.05;;3.17
122;2026-06-29 14:41:58;19;en;1603762260;2026-06-29 14:30:14;2026-06-29 14:41:58;4;615322;Basic knowledge;Frequently / weekly;;;;;When n is 0;4;5;6;6;7 (strongly agree);5;6;7 (strongly agree);2;5;6;6;5;6;6;5;2;4;3;2;1 (strongly disagree);4;2;5;4;;;Woman;;Bachelor's degree;Yes;Yes;No;No;No;;25 to 34;;708.45;;;;;7.22;5.09;;294.3;;;;;123.4;37.4;19.14;20.51;26.85;;5.08;67.06;5.8;89.62;4.96;;2.02
65;2026-06-24 14:24:32;19;en;1667496856;2026-06-24 14:12:30;2026-06-24 14:24:32;4;571612;Basic knowledge;Frequently / weekly;;;;;When n is 0;5;5;6;4;7 (strongly agree);4;6;7 (strongly agree);2;2;5;5;5;5;6;6;4;4;3;3;1 (strongly disagree);5;4;3;2;;;Man;;High school diploma / Abitur;No;No;No;No;Yes;;18 to 24;The chatbot was helpful overall but for topics like Hanoi adding some visual things might help to understand task better. ;708.12;;;;;8.28;8.72;;394.46;;;;;29.98;74.17;34.26;31.79;14.1;;6.67;8.27;5.98;12.82;3.42;;75.2
135;2026-06-29 21:49:56;19;en;1713782013;2026-06-29 21:38:51;2026-06-29 21:49:56;1;547823;Basic knowledge;Daily;;;;;When n is 0;6;6;6;5;6;6;4;7 (strongly agree);1 (strongly disagree);4;3;7 (strongly agree);5;6;7 (strongly agree);7 (strongly agree);3;3;2;2;1 (strongly disagree);4;4;3;1 (strongly disagree);;;Woman;;High school diploma / Abitur;No;No;No;No;No;Turkish;18 to 24;;672.78;;;;;3.82;21.28;;;205.98;;;;169.15;87.81;55.31;65.75;4.68;;4.57;6.38;18.06;18.54;8.68;;2.77
47;2026-06-23 14:24:26;19;en;262715693;2026-06-23 14:13:24;2026-06-23 14:24:26;2;899317;Basic knowledge;Occasionally / a few times a month;;;;;When n is 0;4;4;5;3;4;4;2;5;5;1 (strongly disagree);5;5;6;4;6;7 (strongly agree);1 (strongly disagree);5;3;4;6;5;4;7 (strongly agree);2;;;Man;;Master's degree;No;Yes;No;No;No;;45 to 54;;667.7;;;;;4.3;3.01;;;;1.94;;;3.46;19.95;6.29;8.97;2.06;;1.62;3.5;3.64;3.66;4.05;;1.25
141;2026-06-30 11:58:14;19;en;2062902316;2026-06-30 11:47:56;2026-06-30 11:58:14;1;865468;No experience;Occasionally / a few times a month;;;;;When n is 0;5;5;6;5;6;6;6;7 (strongly agree);2;2;5;5;6;6;6;6;5;5;3;3;1 (strongly disagree);5;3;3;2;;;Man;;High school diploma / Abitur;Yes;Yes;No;No;No;;25 to 34;;623.68;;;;;10.32;5.46;;;285.01;;;;137.89;74.22;26.57;38.87;14.16;;3.04;3.21;4.7;14.03;2.94;;3.26
26;2026-06-15 09:20:20;19;en;1619325291;2026-06-15 09:10:04;2026-06-15 09:20:20;1;134587;Basic knowledge;Occasionally / a few times a month;;;;;When n disks are on the destination rod;2;2;3;3;5;3;5;7 (strongly agree);3;5;2;2;2;2;2;2;2;1 (strongly disagree);1 (strongly disagree);1 (strongly disagree);1 (strongly disagree);1 (strongly disagree);1 (strongly disagree);3;3;No, but he always gave me the same answer and annoyed me with it, wasn't helpful ;;Woman;;Bachelor's degree;No;Yes;No;No;No;;25 to 34;;621.54;;;;;7.18;13.26;;;342.85;;;;51.89;57.45;34.12;36.63;41.76;;3.79;5.22;7.16;7.87;7.34;;5.02
78;2026-06-25 12:07:48;19;en;1132541343;2026-06-25 11:58:05;2026-06-25 12:07:48;4;450337;Basic knowledge;Frequently / weekly;;;;;When n is 0;2;4;5;1 (strongly disagree);3;1 (strongly disagree);2;7 (strongly agree);4;3;2;2;2;3;3;2;3;3;1 (strongly disagree);1 (strongly disagree);1 (strongly disagree);1 (strongly disagree);3;2;2;;;Woman;;Master's degree;No;No;No;Yes;No;;25 to 34;;589.21;;;;;11.05;6.04;;401.81;;;;;41.07;41.87;24.75;29.66;9.33;;3.2;4.4;3.75;5.71;3.99;;2.58
170;2026-06-30 22:53:11;19;en;19124411;2026-06-30 22:43:53;2026-06-30 22:53:11;4;532403;Basic knowledge;Daily;;;;;When n is 0;3;6;7 (strongly agree);1 (strongly disagree);3;1 (strongly disagree);1 (strongly disagree);7 (strongly agree);5;4;1 (strongly disagree);5;5;6;5;2;4;4;4;4;1 (strongly disagree);5;5;2;6;;;Woman;;Master's degree;No;No;No;No;Yes;;25 to 34;;564.37;;;;;6.91;7.39;;15.43;;;;;73.93;152.91;72.73;117.42;24.62;;6.17;14.48;20.17;26.56;17.35;;8.3
169;2026-06-30 22:20:58;19;en;977223887;2026-06-30 22:03:47;2026-06-30 22:20:58;4;406004;Basic knowledge;Daily;;;;;When n is 0;7 (strongly agree);7 (strongly agree);5;6;6;4;4;7 (strongly agree);1 (strongly disagree);4;6;6;6;5;5;6;6;6;6;6;1 (strongly disagree);4;7 (strongly agree);4;5;It used clear and neutral phrases;;Man;;High school diploma / Abitur;Yes;No;No;No;No;Arabic;18 to 24;;549.93;;;;;5.9;145.25;;12.46;;;;;33.89;87.43;41.53;62.39;57.4;;3.54;8.81;9.93;39.15;4.7;;37.55
70;2026-06-24 18:01:37;19;en;507649193;2026-06-24 17:52:34;2026-06-24 18:01:37;4;506976;Basic knowledge;Frequently / weekly;;;;;When n is 0;5;6;6;6;4;4;4;7 (strongly agree);3;4;1 (strongly disagree);6;6;6;6;5;4;4;4;4;1 (strongly disagree);5;5;2;2;;;Man;;Bachelor's degree;No;Yes;No;No;No;;18 to 24;;547.51;;;;;3.06;4.39;;390.68;;;;;7.47;58.33;32.16;26.24;2.21;;1.43;3.14;9.61;3.43;2.93;;2.43
11;2026-05-18 22:18:55;19;en;837233044;2026-05-18 22:09:58;2026-05-18 22:18:55;3;367883;Basic knowledge;Frequently / weekly;;;;;When the move count reaches n;7 (strongly agree);6;6;6;5;5;6;7 (strongly agree);3;4;3;5;5;5;5;5;3;3;3;3;1 (strongly disagree);1 (strongly disagree);2;2;2;;;AO01;;AO03;Yes;No;No;No;No;;18 to 24;I was somewhat lost, as I wasn't sure what chatbot was being referred to. Another confusion but still similarly related to my first point was when I was asked to rate my level of emotions from the chatbot's aid or so.;544.72;;;;;20.93;10.84;;;;;19.14;;85.39;93.46;42.66;77.05;19.36;;3.66;6.84;8.35;7.7;5.81;;143.53
145;2026-06-30 12:36:22;19;en;2128789981;2026-06-30 12:27:25;2026-06-30 12:36:22;4;181254;Advanced;Frequently / weekly;;;;;When n is 0;6;6;6;5;5;4;6;7 (strongly agree);2;6;3;6;6;6;6;6;5;5;6;6;1 (strongly disagree);6;6;3;3;The chatbot’s language felt mostly gender-neutral because it did not use gendered terms or make assumptions about me. Phrases such as “your learning progress” and the step-by-step explanations made it feel somewhat supportive. However, the tone was quite formal and impersonal, so using more encouraging phrases such as “You’re doing well” or “It’s normal to find this difficult” could make it feel more empathetic.;;Woman;;High school diploma / Abitur;Yes;No;No;No;No;hindi;18 to 24;The session was clear, structured, and easy to follow. The examples helped reinforce the concept of recursion, especially the importance of base cases. It would be even better with a few more interactive exercises, visual call-stack explanations, and more personalized feedback after each answer.;543.05;;;;;13.24;6.83;;297.08;;;;;22.24;56.4;21.59;32.36;24.03;;6.95;5.88;10.93;20.85;5.11;;19.56
25;2026-06-08 08:28:58;19;en;1609934710;2026-06-08 08:20:28;2026-06-08 08:28:58;2;500526;No experience;Daily;;;;;When the move count reaches n;1 (strongly disagree);2;6;1 (strongly disagree);3;1 (strongly disagree);5;7 (strongly agree);2;2;1 (strongly disagree);1 (strongly disagree);1 (strongly disagree);1 (strongly disagree);1 (strongly disagree);1 (strongly disagree);1 (strongly disagree);1 (strongly disagree);1 (strongly disagree);1 (strongly disagree);1 (strongly disagree);1 (strongly disagree);7 (strongly agree);6;4;No;;Woman;;Bachelor's degree;Yes;No;Yes;No;No;;25 to 34;;515.49;;;;;5.55;9.46;;;;303.63;;;13.14;63.68;14.27;49.6;25.07;;5.56;5.97;6.86;7.01;3.62;;2.07
50;2026-06-23 17:21:26;19;en;1343330515;2026-06-23 17:13:00;2026-06-23 17:21:26;1;915696;Basic knowledge;Daily;;;;;When the move count reaches n;1 (strongly disagree);1 (strongly disagree);5;1 (strongly disagree);2;1 (strongly disagree);1 (strongly disagree);7 (strongly agree);2;6;2;2;2;2;3;2;2;2;1 (strongly disagree);1 (strongly disagree);1 (strongly disagree);1 (strongly disagree);1 (strongly disagree);3;3;"
";;Woman;;High school diploma / Abitur;No;Yes;No;No;No;;18 to 24;;512.8;;;;;14.18;7.42;;;272.72;;;;24.8;37.87;22.42;39.36;66.81;;4.72;4.33;5.53;6.43;3.99;;2.22
43;2026-06-19 23:19:03;19;en;1350112345;2026-06-19 23:10:54;2026-06-19 23:19:03;4;190107;No experience;Daily;;;;;When n disks are on the destination rod;2;3;5;2;6;3;6;7 (strongly agree);2;4;4;5;3;6;3;2;2;2;2;3;1 (strongly disagree);5;3;4;4;;;Woman;;High school diploma / Abitur;Yes;No;No;Yes;No;;18 to 24;;494.82;;;;;6.98;4.82;;212.59;;;;;41.84;83.66;33.09;50.46;14.12;;8.03;5.57;13.74;12.05;4.08;;3.79
